policy,seed,batch_label,driver_id,route_idx,successful_riders,attempted_riders,realized_revenue,actual_profit,selected_score,mean_wait_min,mean_walk_min,mean_observability,open_requests_before,attempted_rider_ids,successful_rider_ids,domain,scenario_name,time_slice,area_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
walk_aware_rendezvous,44,2015-04-05T18:47:00,167,0,1,1,8.75,1.7310158201498744,0.9567533223980025,0.95,1.5485249955037435,0.5787939045332365,9,9318,9318,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-05T22:14:00,146,0,0,0,0.0,-7.257035803497087,-7.257035803497087,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-05T22:50:00,74,0,0,0,0.0,-10.013405495420484,-10.013405495420484,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-06T13:20:00,216,1,0,0,0.0,-10.041840133222317,-10.041840133222317,0.0,0.0,0.0,1,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-06T13:36:00,215,0,0,0,0.0,-7.059950041631974,-7.059950041631974,0.0,0.0,0.0,3,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-06T14:07:00,58,0,1,1,4.5,-1.0380932556203168,-3.9590850513780684,1.7,5.841983591515503,0.54769820851461,2,26598,26598,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-06T17:53:00,7,1,1,1,5.25,-3.038634471273939,-4.944459869584788,2.433333333333333,3.811650796621699,0.5661076888618986,3,9204,9204,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-06T20:11:00,180,0,1,1,14.0,5.36977518734388,4.467770719190446,0.55,1.8040089363068685,0.4278382966784288,5,11682,11682,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-07T07:40:00,240,0,0,0,0.0,-6.83368026644463,-6.83368026644463,0.0,0.0,0.0,2,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-07T15:46:00,171,0,1,1,4.0,-6.479100749375522,-8.138852579538929,4.25,3.319503660326812,0.7319238942364665,7,14735,14735,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
